NAME: dataset_25_02
NODES: 25
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 169.6631
0 2 212.7911
0 3 259.2841
0 4 136.2414
0 5 224.5898
0 6 102.0392
0 7 39.1173
0 8 299.0683
0 9 190.049
0 10 192.5074
0 11 120.1792
0 12 150.8584
0 13 198.6407
0 14 73.2436
0 15 46.8674
0 16 220.4381
0 17 14.597
0 18 150.4034
0 19 231.2926
0 20 84.1555
0 21 161.2889
0 22 264.3013
0 23 4.0677
0 24 224.2153
1 2 76.3852
1 3 63.8456
1 4 191.8112
1 5 135.0291
1 6 75.217
1 7 88.2944
1 8 44.071
1 9 179.1882
1 10 76.7595
1 11 58.4175
1 12 173.3181
1 13 249.5045
1 14 296.6865
1 15 199.1158
1 16 210.5196
1 17 76.25
1 18 161.8619
1 19 44.1531
1 20 110.6734
1 21 242.8128
1 22 169.5105
1 23 41.8376
1 24 113.3739
2 3 102.371
2 4 193.8747
2 5 160.0622
2 6 286.1071
2 7 72.2964
2 8 100.9916
2 9 24.032
2 10 136.5485
2 11 279.6655
2 12 144.0299
2 13 2.6086
2 14 51.3655
2 15 73.6007
2 16 39.3759
2 17 37.7068
2 18 290.7049
2 19 65.3247
2 20 207.1765
2 21 170.9334
2 22 16.9867
2 23 168.0968
2 24 73.5065
3 4 225.2974
3 5 272.4987
3 6 257.3912
3 7 216.5426
3 8 262.3739
3 9 27.0832
3 10 269.7021
3 11 163.4762
3 12 229.3796
3 13 236.9126
3 14 210.0994
3 15 76.9551
3 16 170.0587
3 17 156.2421
3 18 208.5248
3 19 293.5531
3 20 198.7451
3 21 166.6392
3 22 172.6723
3 23 266.0047
3 24 232.7179
4 5 139.6876
4 6 163.9278
4 7 248.9316
4 8 45.0314
4 9 187.8012
4 10 273.9617
4 11 186.4958
4 12 170.2719
4 13 88.2244
4 14 283.52
4 15 177.6343
4 16 185.4716
4 17 129.1619
4 18 5.78
4 19 42.7035
4 20 23.8185
4 21 132.2501
4 22 215.4905
4 23 123.9726
4 24 49.7813
5 6 144.0157
5 7 256.8496
5 8 52.405
5 9 293.7102
5 10 285.9275
5 11 104.6041
5 12 229.5158
5 13 225.1042
5 14 122.9548
5 15 183.9938
5 16 174.5339
5 17 218.3251
5 18 221.2802
5 19 289.3029
5 20 190.1763
5 21 67.9587
5 22 66.2142
5 23 297.2515
5 24 72.3502
6 7 146.4918
6 8 179.3096
6 9 191.403
6 10 97.4543
6 11 256.8386
6 12 270.992
6 13 226.6003
6 14 282.1575
6 15 140.0215
6 16 285.6753
6 17 208.0349
6 18 263.9556
6 19 294.9217
6 20 189.8892
6 21 223.3548
6 22 116.75
6 23 51.7131
6 24 97.403
7 8 120.5655
7 9 128.0244
7 10 75.5931
7 11 54.3802
7 12 120.1775
7 13 166.3869
7 14 164.2411
7 15 66.3511
7 16 217.5894
7 17 134.2784
7 18 276.3838
7 19 259.7475
7 20 60.9711
7 21 174.1656
7 22 20.0542
7 23 272.7332
7 24 80.875
8 9 107.8105
8 10 200.8414
8 11 13.6294
8 12 60.151
8 13 67.9035
8 14 59.1815
8 15 293.1973
8 16 244.8155
8 17 291.3004
8 18 5.9591
8 19 272.1408
8 20 81.0735
8 21 168.6392
8 22 90.7921
8 23 67.5161
8 24 117.7878
9 10 221.2152
9 11 167.7704
9 12 128.0596
9 13 220.0382
9 14 272.3506
9 15 213.8024
9 16 13.4452
9 17 163.3458
9 18 218.7959
9 19 66.8761
9 20 76.7512
9 21 217.7754
9 22 67.8036
9 23 104.9385
9 24 166.1421
10 11 37.3492
10 12 163.992
10 13 130.4906
10 14 61.9874
10 15 28.2266
10 16 19.4622
10 17 269.6361
10 18 213.2304
10 19 247.1284
10 20 182.1033
10 21 102.799
10 22 106.8733
10 23 25.6642
10 24 17.6148
11 12 70.811
11 13 194.4601
11 14 83.9581
11 15 298.7327
11 16 203.5939
11 17 116.4898
11 18 240.4598
11 19 214.5753
11 20 105.2276
11 21 206.8676
11 22 253.2387
11 23 133.4092
11 24 3.3673
12 13 74.5061
12 14 200.2633
12 15 65.5387
12 16 52.2962
12 17 184.3456
12 18 265.1603
12 19 288.8513
12 20 14.6551
12 21 182.9824
12 22 72.122
12 23 54.208
12 24 143.0321
13 14 145.9169
13 15 253.8468
13 16 52.1994
13 17 6.6523
13 18 33.019
13 19 219.3634
13 20 258.1737
13 21 73.2055
13 22 192.897
13 23 150.888
13 24 239.7314
14 15 73.1322
14 16 200.6993
14 17 23.4948
14 18 216.7265
14 19 172.2925
14 20 8.4518
14 21 115.2547
14 22 266.7909
14 23 277.1314
14 24 45.0557
15 16 276.8839
15 17 89.6817
15 18 75.5426
15 19 272.7408
15 20 57.6713
15 21 8.1206
15 22 247.7374
15 23 111.5569
15 24 128.775
16 17 94.3208
16 18 50.278
16 19 37.4311
16 20 31.1023
16 21 288.3511
16 22 233.2682
16 23 162.7177
16 24 216.9101
17 18 26.175
17 19 17.3394
17 20 141.8352
17 21 207.0336
17 22 264.338
17 23 83.9764
17 24 261.9631
18 19 218.7619
18 20 37.2952
18 21 283.4781
18 22 97.7098
18 23 33.724
18 24 155.284
19 20 209.1425
19 21 225.309
19 22 133.8743
19 23 126.7113
19 24 156.7125
20 21 146.0001
20 22 142.0206
20 23 1.6486
20 24 248.5689
21 22 242.2139
21 23 299.8965
21 24 297.3632
22 23 157.048
22 24 201.7299
23 24 242.8983
