NAME: dataset_100_03
NODES: 100
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 11.6575
0 2 273.4966
0 3 7.9272
0 4 175.2506
0 5 149.6297
0 6 49.2123
0 7 75.5277
0 8 272.4835
0 9 16.9976
0 10 283.1773
0 11 62.3857
0 12 98.8945
0 13 250.5335
0 14 225.5526
0 15 151.8027
0 16 26.9964
0 17 165.2928
0 18 273.7238
0 19 224.1513
0 20 181.3883
0 21 237.1355
0 22 156.6792
0 23 174.4526
0 24 154.6121
0 25 244.6188
0 26 51.4639
0 27 8.4533
0 28 3.9024
0 29 81.3952
0 30 169.2037
0 31 243.6799
0 32 290.6528
0 33 136.7298
0 34 107.7323
0 35 37.3556
0 36 75.5368
0 37 289.5467
0 38 36.3715
0 39 153.1613
0 40 94.9164
0 41 81.6204
0 42 294.9348
0 43 103.3801
0 44 10.3949
0 45 23.9142
0 46 197.5272
0 47 225.9631
0 48 94.0431
0 49 33.1912
0 50 118.0211
0 51 45.3645
0 52 51.6275
0 53 235.9098
0 54 211.2762
0 55 200.4857
0 56 174.1411
0 57 94.3581
0 58 152.2385
0 59 235.2925
0 60 188.5556
0 61 263.3257
0 62 273.1746
0 63 172.7358
0 64 222.0963
0 65 42.8751
0 66 76.0214
0 67 200.3198
0 68 235.114
0 69 100.6216
0 70 32.0775
0 71 132.5762
0 72 98.949
0 73 296.1237
0 74 206.7833
0 75 14.1901
0 76 158.2885
0 77 166.5716
0 78 227.6318
0 79 192.9692
0 80 279.2919
0 81 271.9004
0 82 146.2551
0 83 11.9801
0 84 110.3759
0 85 149.9042
0 86 48.8478
0 87 101.8128
0 88 265.447
0 89 59.7911
0 90 286.8609
0 91 77.9694
0 92 59.8966
0 93 10.9825
0 94 51.8879
0 95 271.9205
0 96 142.1495
0 97 131.6726
0 98 289.6717
0 99 141.2751
1 2 140.8022
1 3 237.9426
1 4 123.6108
1 5 239.7556
1 6 258.2146
1 7 175.0153
1 8 183.8784
1 9 134.2817
1 10 129.0238
1 11 132.9751
1 12 4.5313
1 13 280.35
1 14 253.2308
1 15 255.8853
1 16 30.6339
1 17 27.9356
1 18 165.5147
1 19 242.8343
1 20 49.6583
1 21 110.4479
1 22 60.5068
1 23 238.5825
1 24 59.4017
1 25 189.8146
1 26 169.1852
1 27 92.0018
1 28 179.3699
1 29 181.0599
1 30 252.0183
1 31 217.5631
1 32 138.4129
1 33 190.8102
1 34 96.7395
1 35 260.9713
1 36 81.4818
1 37 119.8383
1 38 4.8746
1 39 163.5323
1 40 137.9335
1 41 84.53
1 42 20.002
1 43 218.0427
1 44 52.5323
1 45 266.6474
1 46 200.2817
1 47 99.9601
1 48 70.2247
1 49 269.9614
1 50 213.3291
1 51 193.2615
1 52 216.201
1 53 190.5195
1 54 99.0699
1 55 227.228
1 56 184.8893
1 57 5.3534
1 58 276.8224
1 59 229.5385
1 60 129.1965
1 61 258.0937
1 62 266.7578
1 63 8.4853
1 64 46.2959
1 65 198.773
1 66 267.3903
1 67 296.0892
1 68 216.8741
1 69 3.2747
1 70 55.0145
1 71 288.6017
1 72 224.4279
1 73 262.6315
1 74 81.9538
1 75 113.3497
1 76 250.0829
1 77 96.375
1 78 19.7466
1 79 126.2103
1 80 210.1818
1 81 227.5359
1 82 36.1855
1 83 238.89
1 84 41.3932
1 85 294.7853
1 86 208.4773
1 87 248.5978
1 88 103.4317
1 89 64.2488
1 90 111.118
1 91 129.5161
1 92 238.402
1 93 262.2702
1 94 278.309
1 95 88.7081
1 96 126.2443
1 97 87.4781
1 98 20.8556
1 99 142.0594
2 3 25.2666
2 4 184.4549
2 5 177.0518
2 6 139.0394
2 7 185.8979
2 8 192.9192
2 9 255.9185
2 10 251.704
2 11 242.0818
2 12 50.5467
2 13 188.2354
2 14 64.044
2 15 264.6842
2 16 96.7533
2 17 278.3527
2 18 43.2112
2 19 91.4193
2 20 47.2198
2 21 24.5826
2 22 290.1061
2 23 237.8266
2 24 246.0822
2 25 204.2836
2 26 50.6241
2 27 174.0798
2 28 231.0354
2 29 142.9942
2 30 3.702
2 31 249.577
2 32 264.725
2 33 70.4749
2 34 32.4002
2 35 46.0484
2 36 115.4194
2 37 166.0565
2 38 194.2678
2 39 187.4512
2 40 178.2108
2 41 129.6186
2 42 181.9811
2 43 30.6733
2 44 185.272
2 45 283.6318
2 46 278.0735
2 47 149.2955
2 48 77.791
2 49 68.2667
2 50 199.3977
2 51 1.731
2 52 280.2516
2 53 161.1725
2 54 113.8689
2 55 109.1194
2 56 210.5281
2 57 80.4179
2 58 162.5181
