NAME : st70.dat
NODES : 70
TYPE : SYMMETRIC
NODE1 NODE2 TIME
0 1 59.20304046246274
0 2 73.17103251970687
0 3 54.589376255824725
0 4 33.12099032335839
0 5 53.33854141237835
0 6 64.28841264178172
0 7 80.4114419718985
0 8 80.52949770115296
0 9 36.40054944640259
0 10 60.40695324215582
0 11 57.0087712549569
0 12 14.560219778561036
0 13 88.0
0 14 49.8196748283246
0 15 8.602325267042627
0 16 65.55150646628954
0 17 56.142675390472796
0 18 68.0294054067798
0 19 95.02105029939419
0 20 64.07027391856539
0 21 25.942243542145693
0 22 8.54400374531753
0 23 51.03920062069938
0 24 105.39449701004318
0 25 81.32035415564789
0 26 93.40770846134703
0 27 84.01190391843289
0 28 14.142135623730951
0 29 93.43446901438462
0 30 19.697715603592208
0 31 68.59300255857006
0 32 60.14149981501958
0 33 64.63745044476924
0 34 32.57299494980466
0 35 4.242640687119285
0 36 20.615528128088304
0 37 18.601075237738275
0 38 95.2102935611481
0 39 89.55445270895244
0 40 58.855755878248644
0 41 60.00833275470999
0 42 66.09841147864296
0 43 78.91767862779544
0 44 97.94386147176351
0 45 99.00505037623081
0 46 12.529964086141668
0 47 65.7419196555744
0 48 90.80198235721508
0 49 30.479501308256342
0 50 43.829214001622255
0 51 41.86884283091664
0 52 33.95585369269929
0 53 67.80117993073571
0 54 95.2732911156112
0 55 52.80151512977634
0 56 43.829214001622255
0 57 21.2602916254693
0 58 26.248809496813376
0 59 50.20956084253277
0 60 87.66413177577246
0 61 77.98717843338096
0 62 30.01666203960727
0 63 55.14526271584895
0 64 49.040799340956916
0 65 30.675723300355934
0 66 60.8276253029822
0 67 78.64477096412705
0 68 21.470910553583888
0 69 20.09975124224178
1 2 19.4164878389476
1 3 8.54400374531753
1 4 42.5205832509386
1 5 22.360679774997898
1 6 5.0990195135927845
1 7 22.02271554554524
1 8 52.49761899362675
1 9 47.20169488482379
1 10 81.8413098624405
1 11 52.392747589718944
1 12 53.03772242470448
1 13 34.88552708502482
1 14 23.430749027719962
1 15 56.859475903318
1 16 40.19950248448356
1 17 12.041594578792296
1 18 13.0
1 19 42.04759208325728
1 20 52.15361924162119
1 21 34.23448553724738
1 22 50.695167422546305
1 23 19.849433241279208
1 24 80.23091673413684
1 25 22.135943621178654
1 26 58.309518948453004
1 27 26.1725046566048
1 28 55.036351623268054
1 29 43.829214001622255
1 30 49.040799340956916
1 31 13.038404810405298
1 32 62.0966987850401
1 33 53.150729063673246
1 34 49.33558553417604
1 35 61.39218191268331
1 36 54.405882034941776
1 37 42.2965719651132
1 38 74.72616676907762
1 39 63.56886030125127
1 40 26.019223662515376
1 41 17.26267650163207
1 42 36.49657518178932
1 43 35.0
1 44 72.80109889280519
1 45 64.66065264130884
1 46 50.99019513592785
1 47 80.05623023850174
1 48 31.622776601683793
1 49 53.75872022286245
1 50 66.2872536767062
1 51 49.73932046178355
1 52 33.94112549695428
1 53 71.80529228406496
1 54 36.71511950137164
1 55 72.94518489934754
1 56 22.847319317591726
1 57 53.600373133029585
1 58 37.013511046643494
1 59 55.154328932550705
1 60 65.25335240430181
1 61 75.23961722390672
1 62 31.016124838541646
1 63 93.60555539069249
1 64 76.27581530209953
1 65 28.635642126552707
1 66 75.76938695805846
1 67 37.73592452822641
1 68 47.095647357266465
1 69 55.14526271584895
2 3 19.235384061671343
2 4 48.75448697299562
2 5 22.825424421026653
2 6 16.278820596099706
2 7 11.661903789690601
2 8 39.0
2 9 51.62363799656123
2 10 81.5659242576212
2 11 48.82622246293481
2 12 69.58448102845921
2 13 15.811388300841896
2 14 42.80186911806539
2 15 69.05070600652827
2 16 31.38470965295043
2 17 17.029386365926403
2 18 25.495097567963924
2 19 23.08679276123039
2 20 45.617978911828175
2 21 50.48762224545735
2 22 65.03076195155643
2 23 39.20459156782532
2 24 64.76109943476871
2 25 18.681541692269406
2 26 41.43669871020132
2 27 12.806248474865697
2 28 71.56814934033156
2 29 24.413111231467404
2 30 66.2872536767062
2 31 6.4031242374328485
2 32 58.52349955359813
2 33 46.51881339845203
2 34 68.15423684555495
2 35 76.02631123499285
2 36 63.56886030125127
2 37 58.309518948453004
2 38 61.1310068623117
2 39 49.25444142409901
2 40 21.213203435596427
2 41 14.317821063276353
2 42 26.92582403567252
2 43 17.72004514666935
2 44 57.87054518492115
2 45 47.53945729601885
2 46 62.96824596572466
2 47 77.6659513557904
2 48 25.238858928247925
2 49 59.941638282582836
2 50 68.8839603971781
2 51 52.009614495783374
2 52 42.05948168962618
2 53 67.11929677819934
2 54 33.12099032335839
2 55 73.55270219373317
2 56 42.05948168962618
2 57 62.625873247404705
2 58 54.3415126767741
2 59 54.48853090330111
2 60 52.009614495783374
2 61 67.67569726275453
2 62 48.05205510693585
2 63 97.6165969494942
2 64 78.64477096412705
2 65 44.28317965096906
2 66 74.2024258363566
2 67 21.37755832643195
2 68 64.53681120105021
2 69 72.56721022610694
3 4 34.655446902326915
3 5 14.035668847618199
3 6 12.041594578792296
3 7 25.96150997149434
3 8 46.09772228646444
3 9 39.05124837953327
3 10 73.35529974037323
3 11 43.93176527297759
3 12 50.35871324805669
3 13 34.92849839314596
3 14 27.459060435491963
3 15 51.24451190127583
3 16 32.7566787083184
3 17 4.47213595499958
3 18 21.540659228538015
3 19 42.20189569201838
3 20 44.01136216933077
3 21 31.25699921617557
3 22 46.2709412050371
3 23 24.186773244895647
3 24 74.24284477308234
