NAME : dataset_10_03
NODES : 10
TYPE : SYMMETRIC
NODE1 NODE2 TIME
0 1 37.9471
0 2 84.2345
0 3 15.1234
0 4 97.9876
0 5 58.6543
0 6 13.4789
0 7 78.1234
0 8 50.9876
0 9 9.6543
1 2 37.9471
1 3 84.2345
1 4 15.1234
1 5 58.6543
1 6 13.4789
1 7 78.1234
1 8 50.9876
1 9 9.6543
2 3 37.9471
2 4 84.2345
2 5 15.1234
2 6 58.6543
2 7 13.4789
2 8 78.1234
2 9 50.9876
3 4 37.9471
3 5 84.2345
3 6 15.1234
3 7 58.6543
3 8 13.4789
3 9 78.1234
4 5 37.9471
4 6 84.2345
4 7 15.1234
4 8 58.6543
4 9 13.4789
5 6 37.9471
5 7 84.2345
5 8 15.1234
5 9 58.6543
6 7 37.9471
6 8 84.2345
6 9 15.1234
7 8 37.9471
7 9 84.2345
8 9 37.9471
