NAME: dataset_25_01
NODES: 25
TYPE: SYMMETRIC
NODE1 NODE2 TIME
0 1 146.8767
0 2 61.3956
0 3 127.7284
0 4 112.9682
0 5 61.427
0 6 75.5078
0 7 30.8337
0 8 237.3769
0 9 17.7464
0 10 65.3248
0 11 123.5889
0 12 39.3407
0 13 183.8975
0 14 96.9439
0 15 208.2781
0 16 217.5885
0 17 58.0824
0 18 250.0455
0 19 288.597
0 20 179.7856
0 21 111.9198
0 22 204.8296
0 23 286.116
0 24 277.7705
1 2 212.8038
1 3 203.8154
1 4 267.09
1 5 193.2799
1 6 265.1215
1 7 178.3194
1 8 180.4435
1 9 210.2774
1 10 55.8603
1 11 212.8005
1 12 91.1977
1 13 153.4604
1 14 159.8002
1 15 180.2077
1 16 245.5621
1 17 218.4635
1 18 279.1679
1 19 76.5637
1 20 181.471
1 21 221.4517
1 22 94.5762
1 23 8.4409
1 24 108.8704
2 3 215.1661
2 4 199.8299
2 5 232.558
2 6 188.8347
2 7 212.2679
2 8 176.2716
2 9 73.9311
2 10 87.7881
2 11 246.3339
2 12 114.7707
2 13 75.1098
2 14 24.1242
2 15 136.2652
2 16 72.8146
2 17 264.0092
2 18 224.3068
2 19 30.388
2 20 106.7237
2 21 138.5518
2 22 109.7926
2 23 167.3732
2 24 239.9753
3 4 58.0728
3 5 73.7819
3 6 56.8379
3 7 157.7048
3 8 265.1873
3 9 47.2992
3 10 228.404
3 11 293.366
3 12 28.3898
3 13 185.499
3 14 160.9421
3 15 239.3966
3 16 41.6851
3 17 230.7326
3 18 138.5421
3 19 215.4926
3 20 203.8342
3 21 221.5313
3 22 166.9666
3 23 127.9374
3 24 214.5932
4 5 194.3439
4 6 98.619
4 7 48.1581
4 8 284.5346
4 9 90.5605
4 10 24.6056
4 11 297.2877
4 12 26.8443
4 13 181.8673
4 14 12.2049
4 15 169.0982
4 16 179.7603
4 17 27.5466
4 18 195.6095
4 19 91.35
4 20 113.8979
4 21 24.5075
4 22 121.1792
4 23 101.5108
4 24 281.9189
5 6 209.7806
5 7 215.4304
5 8 222.4393
5 9 225.5035
5 10 277.3993
5 11 75.3448
5 12 193.5038
5 13 126.5471
5 14 173.4035
5 15 213.5095
5 16 67.3641
5 17 64.2944
5 18 233.0097
5 19 58.5329
5 20 178.7761
5 21 262.9518
5 22 250.1261
5 23 273.0307
5 24 171.055
6 7 128.4069
6 8 121.2203
6 9 25.998
6 10 251.3589
6 11 166.5694
6 12 259.3709
6 13 11.7116
6 14 32.4548
6 15 235.4336
6 16 111.7494
6 17 163.4442
6 18 152.072
6 19 57.6579
6 20 210.76
6 21 145.6477
6 22 1.3372
6 23 224.8357
6 24 24.0695
7 8 256.491
7 9 28.4541
7 10 262.2938
7 11 39.6032
7 12 54.0702
7 13 230.3094
7 14 189.765
7 15 187.5767
7 16 84.4776
7 17 218.7812
7 18 224.1047
7 19 20.7497
7 20 24.7266
7 21 82.6052
7 22 160.7389
7 23 271.393
7 24 111.061
8 9 163.6864
8 10 250.572
8 11 52.5527
8 12 167.7857
8 13 14.7896
8 14 143.3352
8 15 2.8011
8 16 51.3863
8 17 272.3384
8 18 214.4188
8 19 271.9683
8 20 117.9718
8 21 48.9102
8 22 246.8284
8 23 242.315
8 24 54.0186
9 10 259.8524
9 11 226.6968
9 12 21.2439
9 13 146.393
9 14 210.2441
9 15 79.6654
9 16 23.9581
9 17 41.3158
9 18 49.3004
9 19 58.0924
9 20 101.7225
9 21 104.6197
9 22 235.6499
9 23 142.3038
9 24 274.4367
10 11 117.5076
10 12 11.9892
10 13 96.9135
10 14 290.7916
10 15 129.9448
10 16 224.6097
10 17 171.513
10 18 117.6399
10 19 175.7697
10 20 32.9452
10 21 180.3644
10 22 126.8108
10 23 40.4503
10 24 243.9983
11 12 217.0707
11 13 90.5971
11 14 239.9351
11 15 113.3379
11 16 68.8487
11 17 229.9656
11 18 102.1744
11 19 205.5571
11 20 215.1998
11 21 155.5096
11 22 33.2012
11 23 230.7644
11 24 11.8051
12 13 34.1313
12 14 23.3412
12 15 148.1847
12 16 192.0846
12 17 42.6823
12 18 181.9904
12 19 132.6569
12 20 159.274
12 21 172.401
12 22 248.4275
12 23 73.7703
12 24 99.5583
13 14 10.4504
13 15 282.9162
13 16 106.0838
13 17 112.0716
13 18 125.227
13 19 7.5198
13 20 189.2911
13 21 26.187
13 22 111.5784
13 23 291.4567
13 24 256.6064
14 15 132.2918
14 16 281.616
14 17 207.428
14 18 117.217
14 19 215.6712
14 20 62.6461
14 21 119.1859
14 22 293.6866
14 23 110.6233
14 24 12.7757
15 16 187.7652
15 17 217.4181
15 18 137.6928
15 19 242.4008
15 20 2.6155
15 21 230.9656
15 22 296.2602
15 23 45.8998
15 24 142.8651
16 17 298.8843
16 18 192.5224
16 19 139.3813
16 20 292.3328
16 21 23.9363
16 22 132.5725
16 23 141.1012
16 24 86.2353
17 18 280.3476
17 19 214.9202
17 20 192.1642
17 21 44.4819
17 22 208.0324
17 23 181.6347
17 24 257.2216
18 19 55.1694
18 20 84.4441
18 21 168.7641
18 22 135.0243
18 23 287.8667
18 24 138.4218
19 20 164.7511
19 21 198.8342
19 22 226.245
19 23 61.651
19 24 47.0231
20 21 114.9568
20 22 267.2149
20 23 145.4332
20 24 144.8996
21 22 101.3718
21 23 54.37
21 24 272.4418
22 23 283.0133
22 24 238.3554
23 24 267.2207
