NAME : dataset_10_04
NODES : 10
TYPE : SYMMETRIC
NODE1 NODE2 TIME
0 1 37.9471
0 2 84.2345
0 3 15.1234
0 4 97.9876
0 5 58.6543
0 6 13.4789
0 7 78.1234
0 8 50.9876
0 9 9.6543
1 2 38.0123
1 3 84.3456
1 4 15.2345
1 5 58.7654
1 6 13.5678
1 7 78.2345
1 8 51.0987
1 9 9.7654
2 3 38.1234
2 4 84.4567
2 5 15.3456
2 6 58.8765
2 7 13.6789
2 8 51.2098
2 9 9.8765
3 4 38.2345
3 5 84.5678
3 6 15.4567
3 7 58.9876
3 8 51.3210
3 9 9.9876
4 5 38.3456
4 6 84.6789
4 7 15.5678
4 8 59.0987
4 9 10.0987
5 6 38.4567
5 7 84.7890
5 8 15.6789
5 9 59.2098
6 7 38.5678
6 8 84.8901
6 9 15.7890
7 8 38.6789
7 9 84.9012
8 9 38.7890
